B Mixed,,,,,,,
Games,Carrigaline,Lakewood,Nagle Tea Time,,,,
Carrigaline,,,,,,,
Lakewood,,,5-2,,,,
Nagle Tea Time,,3-4,,,,,
B Mens,,,,,,,
Games,St. Marys,Carrigaline,Lakewood,,,,
St. Marys,,0-4,1-3,,,,
Carigaline,,,,,,,
Lakewood,,3-1,,,,,
D Mixed,,,,,,,
Games,Carrigtwohill,Melbourn/Bishopstown A,Melbourn/Bishopstown B,Carrigaline,Nagle Tea Time,,
Carrigtwohill,,4-3,5-2,7-0,3-4,,
Melbourn/Bishopstown A,5-2,,7-0,6-1,4-3,,
Melbourn/Bishopstown B.,0-7,,,1-6,0-7,,
Carrigline,3-4,3-4,6-1,,2-5,,
Nagle Tea Time,4-3,6-1,6-1,5-2,,,
D Ladies,,,,,,,
Games,Melbourn/Bishopstown A,Melbourn/Bishopstown B,Nagle Tea Time,Carrigaline,,,
Melbourn/Bishopstown A,,4-0,1-3,2-2,,,
Melbourn/Bishopstown B,0-4,,0-4,0-4,,,
Nagle Tea Time,1-3,4-0,,3-1,,,
Carrigaline,1-3,3-0,0-4,,,,
D Mens,,,,,,,
Games,Melbourn/Bishopstown,Carrigtwohill,St. Marys,Oasis,Nagle Tea Time,Carrigaline,
Melbourn/Bishopstown,,,1-3,3-1,1-3,4-0,
Carrigtwohill,3-1,,2-2,1-3,3-1,4-0,
St. Marys,1-3,3-1,,3-1,3-1,4-0,
Oasis,3-1,0-4,2-2,,2-2,4-0,
Nagle Tea Time,0-4,2-2,2-2,2-2,,4-0,
Carrigaline,0-4,0-4,1-3,0-4,1-3,,
E Mixed,,,,,,,
Games,Carrigtwohill,St. Marys,Courtmacsherry,,,,
Carrigtwohill,,7-0,4-3,,,,
St. Marys,5-2,,1-6,,,,
Courtmacsherry,4-3,6-1,,,,,
E Ladies,,,,,,,
Games,Carrigtwohill,St. Marys,Lakewood,Courtmacsherry,,,
Carrigtwohill,,4-0,3-1,4-0,,,
St. Marys,0-4,,3-1,2-2,,,
Lakewood,1-3,3-1,,2-2,,,
Courtmacsherry,1-3,4-0,2-2,,,,
E Mens,,,,,,,
Games,Carrigaline,Courtmacsherry,Skibbereen,Mallow,,,
Carrigaline,,1-3,0-4,1-3,,,
Courtmacsherry,,,4-0,4-0,,,
Skibbereen,4-0,0-4,,4-0,,,
Mallow,4-0,,,,,,
F Mixed 1,,,,,,,
Games,Carrigtwohill,U.C.C.,Kinsale,Carrigaline,,,
Carrigtwohill,,,1-6,0-7,,,
U.C.C.,7-0,,6-1,5-2,,,
Kinsale,6-1,4-3,,2-5,,,
Carrigaline,5-2,5-2,5-2,,,,
F Mixed 2,,,,,,,
Games,Clonakilty,St. Marys,Bandon,Skibbereen,,,
Clonakilty,,4-3,7-0,,,,
St. Marys,4-3,,4-3,5-2,,,
Bandon,4-3,2-5,,3-4,,,
Skibbereen,3-4,3-4,1-6,,,,
F Ladies,,,,,,,
Games,Carrigtwohill,Mallow,U.C.C.,St. Marys,Carrigaline,Garryduff,Kinsale
Carrigtwohill,,,,1-3,,2-2,3-1
Mallow,2-2,,,1-3,,,2-2
U.C.C.,4-0,4-0,,4-1,0-4,,
St. Marys,,,,,1-3,2-2,4-0
Carrigaline,4-0,4-0,,,,4-0,
Garryduff,,4-0,1-3,,,,
Kinsale,,,0-4,,0-4,1-3,
F Mens 1,,,,,,,
Games,Bartlemy,Carrigtwohi,Riverstown,Oasis,Carrigaline,,
Bartlemy,,3-1,2-2,1-3,2-2,,
Carrigtwohill,3-1,,1-3,0-4,4-0,,
Riverstown,3-1,3-1,,0-4,4-0,,
Oasis,4-0,3-1,3-1,,,,
Carrigaline,4-0,4-0,4-0,3-1,,,
F Mens 2,,,,,,,
Games,Bandon,Lakewood,U.C.C.,Melbourn/Bishopstown,,,
Bandon,,,1-3,2-2,,,
Lakewood,2-2,,4-0,2-2,,,
U.C.C.,4-0,0-4,,2-2,,,
Melbourn/Bishopstown.,4-0,2-2,3-1,,,,
G Mixed 1,,,,,,,
Games,Bartlemy,Centenary,U.C.C.,Mitchelstown,,,
Bartlemy,,4-3,3-4,6-1,,,
Centenary,4-3,,5-2,7-0,,,
U.C.C.,5-2,4-3,,6-1,,,
Mitchelstown,1-6,2-5,,,,,
G Mixed 2,,,,,,,
Games,Carrigaline,Courtmacsherry,St. Marys,Bandon,,,
Carrigaline,,3-4,5-2,7-0,,,
Courtmacsherry,6-1,,7-0,7-0,,,
St. Marys,3-4,2-5,,,,,
Bandon,2-5,3-4,3-4,,,,
G Ladies,,,,,,,
Games,Clonakilty,Garryduff,U.C.C.,Ladysbridge,Knockraha,Bandon,
Clonakilty,,4-0,3-1,4-1,4-0,3-1,
Garryduff,0-4,,1-3,2-2,2-2,4-0,
U.C.C.,1-3,3-1,,3-1,2-2,3-1,
Ladysbridge,1-3,4-0,1-3,,3-1,4-0,
Knockraha,1-3,2-2,1-3,3-1,,3-1,
Bandon,0-4,3-1,1-3,1-3,1-3,,
G Mens 1,,,,,,,
Games,Ladysbridge,Riverstown,Bartlemy,Centenary,Oasis,,
Ladysbridge,,4-0,2-2,3-1,2-2,,
Riverstown,1-3,,0-4,0-4,1-3,,
Bartlemy,2-2,4-0,,4-0,3-1,,
Centenary,1-3,3-1,2-2,,0-4,,
Oasis,3-1,4-0,1-3,4-0,,,
G Mens 2,,,,,,,
Games,Farran,Courtmacsherry,Carrigaline,U.C.C.,,,
Farran,,3-1,4-0,4-0,,,
Courtmacsherry,4-0,,4-0,4-0,,,
Carrigaline,0-4,2-2,,2-2,,,
U.C.C.,3-1,1-3,1-3,,,,
H Mixed 1,,,,,,,
Games,Buttevant,Bartlemy,Nagle Tea Time,U.C.C.,Melbourn/Bishopstown,,
Buttevant,,7-0,7-0,6-1,3-4,,
Bartlemy,1-6,,,3-4,0-7,,
Nagle Tea Time,1-6,2-5,,4-3,0-7,,
U.C.C.,3-4,4-3,6-1,,6-1,,
Melbourn/Bishopstown,1-6,6-1,7-0,7-0,,,
H Mixed 2,,,,,,,
Games,St. Marys,Kinsale,Lisavaird,Carrigaline,Clonakilty,,
St. Marys,,6-1,5-2,5-2,7-0,,
Kinsale,1-6,,3-4,5-2,5-2,,
Lisavaird,1-6,3-4,,5-2,7-0,,
Carrigaline,5-2,2-5,,,6-1,,
Clonakilty,1-6,1-6,1-6,,,,
H Ladies 1,,,,,,,
Games,Carrigtwohill,Mallow,Buttevant,Mitchelstown,U.C.C.,,
Carrigtwohill,,2-2,3-1,4-0,2-2,,
Mallow,,,4-0,4-0,4-0,,
Buttevant,2-2,2-2,,4-0,4-0,,
Mitchelstown,2-2,2-2,1-3,,4-0,,
U.C.C.,0-4,1-3,,0-4,,,
H Ladies 2,,,,,,,
Games,Farran,Kinsale,St. Marys,Melbourn/Bishopstown,Centenary,,
Farran,,4-0,4-0,4-0,4-0,,
Kinsale,0-4,,4-0,0-4,0-4,,
St. Marys,0-4,3-1,,0-4,0-4,,
Melbourn/Bishopstown,0-4,4-0,2-2,,2-2,,
Centenary,3-1,4-0,,4-0,,,
H Mens 1,,,,,,,
Games,Buttevant B,Melbourn/Bishopstown,Riverstown,Oasis,Nagle Tea Time,,
Buttevant B,,3-1,4-0,,4-0,,
Melbourn/Bishopstown,3-1,,2-2,2-2,4-0,,
Riverstown,3-1,1-3,,1-3,4-0,,
Oasis,0-4,2-2,4-0,,4-0,,
Nagle Tea Time,0-4,0-4,0-4,0-4,,,
H Mens 2,,,,,,,
Games,Buttevant A,U.C.C.,Garryduff,Carrigaline,,,
Buttevant A,,4-0,4-0,3-1,,,
U.C.C.,2-2,,2-2,3-1,,,
Garryduff,0-4,1-3,,2-2,,,
Carrigaline,1-3,4-0,4-0,,,,
H Mens 3,,,,,,,
Games,St. Marys,Skibbereen,Kinsale,Courtmacsherry.,Clonakilty,,
St. Marys,,1-3,,2-2,4-0,,
Skibbereen,,,4-0,3-1,4-0,,
Kinsale,3-1,2-2,,1-3,4-0,,
Courtmacsherry,1-3,0-4,0-4,,1-3,,
Clonakilty,4-0,2-2,2-2,,,,